geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
11310,-23.962905597207097,-46.39461143535124,são vicente,SP
11440,-23.98788982791853,-46.24777699362336,guarujá,SP
11495,-23.96227508731793,-46.250477767629874,guaruja,SP
11533,-23.925988916770564,-46.40841448983772,cubatao,SP
11510,-23.89641672428057,-46.42138062675436,cubatão,SP
11612,-23.826105,-45.43580295614292,sao sebastiao,SP
11680,-23.43162669109582,-45.07722870122336,ubatuba,SP
11630,-23.83182304604652,-45.37368542232557,ilhabela,SP
11660,-23.622152560194245,-45.41471769806336,caraguatatuba,SP
11618,-23.781911088555443,-45.62542446149357,são sebastião,SP
11626,-23.754162736427457,-45.81876230700514,maresias,SP
11610,-23.75745688703907,-45.415672402302505,sao francisco da praia,SP
11612,-23.819652000000005,-45.437362963356286,são francisco da praia,SP
11730,-24.11716945934433,-46.701075415691164,mongagua,SP
11700,-24.016283558765817,-46.39843570349071,praia grande,SP
11730,-24.136462771019705,-46.7182743373536,mongaguá,SP
11740,-24.149651009642906,-46.7480979001278,itanhaem,SP
11750,-24.30942886354128,-46.991091315656,peruibe,SP
11760,-24.28999207181857,-47.175537103122046,itariri,SP
11790,-24.276258026479585,-47.23901172853294,pedro de toledo,SP
11740,-24.14992365510836,-46.73681045538402,itanhaém,SP
11750,-24.318353324475577,-47.00254890105722,peruíbe,SP
11770,-24.303711041917182,-47.06606866478016,ana dias,SP
11850,-24.281284365679756,-47.44564358336644,miracatu,SP
11800,-24.316007192981868,-47.6310274100164,juquia,SP
11800,-24.320865024474426,-47.63573146237344,juquiá,SP
11930,-24.72923631512427,-47.8751448746274,pariquera-acu,SP
11950,-24.725498606199103,-48.11036826830713,cajati,SP
11900,-24.49203032806276,-47.83413137913321,registro,SP
11940,-24.715799471973146,-48.00772649327381,jacupiranga,SP
11925,-24.73951532787161,-47.539068581749895,ilha comprida,SP
11955,-24.75567196941544,-48.50634725056389,barra do turvo,SP
11960,-24.522633,-48.10619024999998,eldorado,SP
11920,-24.705292058051395,-47.55221572856384,iguape,SP
11990,-25.011812317282136,-47.930451004516165,cananéia,SP
11990,-25.001653500000003,-47.93411025000001,cananeia,SP
11910,-24.38123467352574,-47.92755771528054,sete barras,SP
11930,-24.71134960514945,-47.88213730041446,pariquera-açu,SP
12010,-23.028580095435387,-45.55788415147515,taubate,SP
12086,-23.047083359540483,-45.516382361664576,taubaté,SP
12180,-23.37997661856026,-45.44779214793582,natividade da serra,SP
12120,-22.96042599570272,-45.55027479123935,tremembe,SP
12130,-23.088223057062084,-45.19152035235402,lagoinha,SP
12120,-22.9932899334674,-45.55653891880597,tremembé,SP
12170,-23.27933984514383,-45.53463047183564,redencao da serra,SP
12150,-23.246340095815523,-45.20372634808252,catucaba,SP
12140,-23.2263927893372,-45.3173126889704,sao luiz do paraitinga,SP
12140,-23.221200053845585,-45.30694445621456,sao luis do paraitinga,SP
12140,-23.2320759854038,-45.30881992023235,são luiz do paraitinga,SP
12236,-23.24656095920133,-45.89750073411618,são josé dos campos,SP
12284,-23.11125490674591,-45.70176767124474,cacapava,SP
12260,-23.34992418052465,-45.70879040973767,paraibuna,SP
12287,-23.10366594568921,-45.71009963075926,caçapava,SP
12270,-23.25658323003718,-45.69174320645941,jambeiro,SP
12250,-22.957006788724875,-45.83889267359648,monteiro lobato,SP
12249,-22.91168768564159,-45.95858912118764,sao francisco xavier,SP
12249,-22.913703391493726,-45.95971336994925,são francisco xavier,SP
12331,-23.265979879755115,-46.06705735267744,jacarei,SP
12306,-23.28086564807545,-45.94870650611685,jacareí,SP
12380,-23.398738664441694,-45.87914132883015,santa branca,SP
12350,-23.214122950073904,-46.15782773220571,igarata,SP
12350,-23.20548747912926,-46.155129807334944,igaratá,SP
12412,-22.95773146505728,-45.45515668718501,pindamonhangaba,SP
12490,-22.690669999999955,-45.735499999999945,são bento do sapucaí,SP
12460,-22.732323039727124,-45.56427039489908,campos do jordao,SP
12490,-22.690502768443626,-45.73678300545756,sao bento do sapucai,SP
12450,-22.823006371911536,-45.66732292476693,santo antonio do pinhal,SP
12460,-22.745929313327217,-45.58224389385661,campos do jordão,SP
12450,-22.825665,-45.66082275,santo antônio do pinhal,SP
12520,-22.812079392244957,-45.18265771921641,guaratingueta,SP
12525,-22.841959286551266,-45.25567489938757,potim,SP
12514,-22.793294840815463,-45.19745881614868,guaratinguetá,SP
12570,-22.851929577501,-45.23031074613782,aparecida,SP
12530,-23.07558796563428,-44.95788421241348,cunha,SP
12580,-22.89082860434644,-45.30332001483277,roseira,SP
12540,-22.92337687293524,-44.822340867768645,campos de cunha,SP
12607,-22.74237139800176,-45.11479219667662,lorena,SP
12630,-22.66402169969416,-45.00665755897629,cachoeira paulista,SP
12620,-22.5996990166632,-45.194679096464384,piquete,SP
12690,-22.663113590333364,-44.85249665898394,silveiras,SP
12615,-22.703473552765075,-45.05105260975208,canas,SP
12702,-22.58485191618097,-44.96871571204341,cruzeiro,SP
12760,-22.56492857856469,-44.92927779947156,lavrinhas,SP
12870,-22.67526016650983,-44.444586218674296,arapeí,SP
12800,-22.53169799999999,-44.75401199999999,queluz,SP
12870,-22.671984270072414,-44.44834126039903,arapei,SP
12850,-22.681822130220606,-44.31777546316097,bananal,SP
12830,-22.6455089733126,-44.5834815133437,sao jose do barreiro,SP
12830,-22.64563882696123,-44.576624014173326,são josé do barreiro,SP
12820,-22.5814978697878,-44.6995162923868,areias,SP
12940,-23.112774381969185,-46.5488845105504,atibaia,SP
12903,-22.94787403161499,-46.55188741483248,braganca paulista,SP
12955,-23.115438,-46.48591350000001,bom jesus dos perdoes,SP
12970,-23.05588544094924,-46.35910657270963,piracaia,SP
12955,-23.11874641347494,-46.47878303521032,bom jesus dos perdões,SP
12990,-22.7948459815486,-46.44274854864501,pedra bela,SP
12902,-22.953931938475748,-46.54743392807689,bragança paulista,SP
12980,-22.9362091419113,-46.27513561550051,joanopolis,SP
12935,-22.90321267809593,-46.38232959310745,vargem,SP
12960,-23.18258370723467,-46.39602763154268,nazaré paulista,SP
12960,-23.17431218902001,-46.43021905442664,nazare paulista,SP
12980,-22.9408559404171,-46.27575295079885,joanópolis,SP
12995,-22.78314454789037,-46.58949540991712,pinhalzinho,SP
12930,-22.81304341483897,-46.69536722297934,tuiuti,SP
13023,-22.898536428530225,-47.063125168330544,campinas,SP
13160,-22.559120480675748,-47.16516839542564,artur nogueira,SP
13184,-22.862988204938603,-47.21824617249952,hortolandia,SP
13148,-22.786644726384047,-47.10608854644455,paulinia,SP
13178,-22.800362898695823,-47.21833340077328,sumare,SP
13157,-22.63269209289212,-47.20099171014733,cosmopolis,SP
13190,-22.95001023221123,-47.30583884974829,monte mor,SP
13184,-22.865526244784437,-47.21453906911243,hortolândia,SP
13179,-22.81374523718017,-47.17647881796229,sumaré,SP
13155,-22.63204070789366,-47.184730724553454,cosmópolis,SP
13145,-22.73306060560335,-47.17829082930352,paulínia,SP
13165,-22.487091860243755,-47.21575974696741,engenheiro coelho,SP
13253,-22.993820438600167,-46.81014454759541,itatiba,SP
13283,-23.01011064782791,-46.98368633960173,vinhedo,SP
13210,-23.21955226311385,-46.88331318927813,jundiai,SP
13276,-22.983092033963143,-46.99579127087601,valinhos,SP
13221,-23.184985205666504,-46.82569758226659,varzea paulista,SP
13290,-23.08412527710581,-46.98121307089687,louveira,SP
13240,-23.087824894141608,-46.71345491227471,jarinu,SP
13238,-23.237674244304586,-46.76839048567362,campo limpo paulista,SP
13260,-22.866518037785752,-46.79872901119849,morungaba,SP
13295,-23.15915219401001,-47.05820782584106,itupeva,SP
13224,-23.2256361212416,-46.8352505773309,várzea paulista,SP
13347,-23.141554810215275,-47.23811647179686,indaiatuba,SP
13360,-23.0122137105142,-47.52203973160603,capivari,SP
13323,-23.225911871187957,-47.26603912401082,salto,SP
13309,-23.28024027283236,-47.28408336583513,itu,SP
13385,-22.78706404421539,-47.29741233595029,nova odessa,SP
13315,-23.299821440186975,-47.13776212614689,cabreuva,SP
13350,-23.045485430713946,-47.37933912085125,elias fausto,SP
13370,-23.021344682864957,-47.528427787992975,rafard,SP
13390,-22.849226544300205,-47.61048571730711,rio das pedras,SP
13318,-23.250572528997665,-47.05478099999999,jacare,SP
13315,-23.28134782431185,-47.060537364418025,cabreúva,SP
13375,-22.9294881423121,-47.56826980444118,mombuca,SP
13318,-23.27470491009819,-45.95323909927849,jacaré,SP
13318,-23.29380441985684,-45.95992993510736,jacaré (cabreúva),SP
13355,-12.99385222547416,-38.4808818461084,cardeal,SP
13318,-23.25698315952892,-47.05520482264644,jacare (cabreuva),SP
13319,-23.28867817281418,-47.0565400118141,bom fim do bom jesus,SP
13468,-22.75357308071264,-47.3394119839509,americana,SP
13482,-22.57487785152052,-47.416177053147926,limeira,SP
13416,-22.715110444918835,-47.645625352213,piracicaba,SP
13450,-22.760477687572443,-47.41281121951772,santa bárbara d'oeste,SP
13453,-22.73579256527013,-47.41089508396748,santa barbara d'oeste,SP
13440,-22.84948225596616,-47.68109670487482,saltinho,SP
13490,-22.47209221623169,-47.459789454545096,cordeiropolis,SP
13495,-22.59026385142432,-47.51988929812747,iracemápolis,SP
13495,-22.581664858953943,-47.50755435612405,iracemapolis,SP
13457,-22.76774645443306,-47.39866604043143,santa barbara d oeste,SP
13490,-22.473823387369382,-47.47239297885546,cordeirópolis,SP
13456,-22.753402271545355,-47.3674139253508,santa bárbara doeste,SP
13457,-22.76414378872069,-47.365391772680816,santa barbara doeste,SP
13454,-22.73447979257104,-47.38058895503217,santa bárbara d`oeste,SP
13500,-22.402133192076768,-47.56233402025511,rio claro,SP
13563,-22.001643392946637,-47.924424205357845,sao carlos,SP
13537,-22.434117937517836,-47.71050177789937,ipeuna,SP
13510,-22.457455770483627,-47.53936224061793,santa gertrudes,SP
13530,-22.24952039418273,-47.81123678056145,itirapina,SP
13515,-22.50146285970488,-47.77297461817962,charqueada,SP
13563,-21.991896922557604,-47.92391663128279,são carlos,SP
13580,-22.064129300100667,-48.17887518860225,ribeirao bonito,SP
13537,-22.43313363054224,-47.711431624367634,ipeúna,SP
13520,-22.5567717701264,-47.91123662245614,sao pedro,SP
13520,-22.550115894535995,-47.88694614643127,são pedro,SP
13590,-22.11041683240867,-48.30935219804882,dourado,SP
13540,-22.220859538586105,-47.62390765610621,corumbataí,SP
13550,-22.12626771146922,-47.66165228278019,analandia,SP
13525,-22.597237012242356,-47.87304162058393,aguas de sao pedro,SP
13540,-22.222172003015405,-47.62186458373424,corumbatai,SP
13579,-22.43621639690722,-46.82823838566812,santa eudóxia,SP
13525,-22.603982468072456,-47.86707953192754,águas de são pedro,SP
13578,-21.893562,-47.89098450000001,agua vermelha,SP
13580,-22.06949464289576,-48.179894921534135,ribeirão bonito,SP
13601,-22.363302142939556,-47.38673630322003,araras,SP
13631,-22.002685611188895,-47.42592206193028,pirassununga,SP
13660,-21.858555070695942,-47.48403458197557,porto ferreira,SP
13650,-21.81702801458608,-47.24266525128645,santa cruz das palmeiras,SP
13670,-21.69177606516385,-47.47882812541438,santa rita do passa quatro,SP
13615,-22.162480324228845,-47.38128759913256,leme,SP
13690,-21.915727706969644,-47.62033250569028,descalvado,SP
13625,-22.132956055094628,-47.45175231332934,santa cruz da conceicao,SP
13625,-22.13926453237525,-47.45460051749364,santa cruz da conceição,SP
13738,-21.473396934171287,-47.00955329686342,mococa,SP
13720,-21.592175195884263,-46.89389599036144,são josé do rio pardo,SP
13720,-21.60687363104145,-46.88965049547445,sao jose do rio pardo,SP
13700,-21.77858754402216,-47.09381672518129,casa branca,SP
13770,-21.53291399999999,-46.63980225,caconde,SP
13710,-21.716754014169144,-47.27203933359484,tambau,SP
13760,-21.472572344386293,-46.74795423526378,tapiratiba,SP
13780,-21.659389939778173,-46.73813797473669,divinolandia,SP
13755,-21.322006474668765,-47.02787711891929,são benedito das areias,SP
13715,-21.737799874375423,-46.96780519384342,itobi,SP
13790,-21.70963443187764,-46.8211988409707,sao sebastiao da grama,SP
13710,-21.711891310025248,-47.26942912344468,tambaú,SP
13750,-21.409464471821305,-46.81178922637738,igarai,SP
13790,-21.709923100141932,-46.823559853218704,são sebastião da grama,SP
13780,-21.66012440764615,-46.74097899522162,divinolândia,SP
13705,-21.89278315095601,-47.03750341460267,lagoa branca,SP
13755,-21.321924907111494,-47.027791396263794,sao benedito das areias,SP
13707,-21.94830470114984,-47.11760989711271,venda branca,SP
13750,-21.408341020845302,-46.81112601619051,igaraí,SP
13820,-22.689712550377955,-46.98249303136359,jaguariuna,SP
13880,-21.83948265963376,-46.88952885213608,vargem grande do sul,SP
13840,-22.359648157307664,-46.93603474635176,mogi-guacu,SP
13830,-22.607003040200272,-46.91414970477579,santo antonio de posse,SP
13848,-22.331248866205637,-46.9225796260173,mogi guaçu,SP
13830,-22.60560568076681,-46.9061470415876,santo antônio de posse,SP
13875,-21.986354303481825,-46.775203722220574,sao joao da boa vista,SP
13807,-22.402763103111283,-46.94468978960629,mogi mirim,SP
13820,-22.693787901331756,-47.01193816444707,jaguariúna,SP
13825,-22.61429565168213,-47.06761188787577,holambra,SP
13860,-22.052989319565956,-46.97231268956188,aguai,SP
13835,-22.338621,-47.17603125,conchal,SP
13844,-22.38049984151139,-46.952964518892415,mogi guacu,SP
13857,-22.27535426816477,-46.950765182495694,estiva gerbi,SP
13875,-21.984785611815347,-46.77386645621579,são joão da boa vista,SP
13807,-22.401861515875733,-46.94355850022435,mogi-mirim,SP
13890,-21.936065315045536,-46.716360855959365,aguas da prata,SP
13860,-22.05501665649969,-46.96207749789249,aguaí,SP
13820,-22.68402705105192,-46.680785765756205,monte alegre do sul,SP
13890,-21.94760829811806,-46.71748661779454,águas da prata,SP
13855,-22.287371201636308,-47.13683408534619,martinho prado junior,SP
13895,-21.836649492517488,-46.74404660731191,sao roque da fartura,SP
13908,-22.72282092806635,-46.84179829244856,amparo,SP
13972,-22.433272354448736,-46.81770035287661,itapira,SP
13960,-22.59496246184797,-46.521509282521215,socorro,SP
13950,-22.523688000000003,-46.64738025,lindoia,SP
13940,-22.47745636162787,-46.63246689302295,aguas de lindoia,SP
13920,-22.73824150585765,-46.8958585777586,pedreira,SP
13930,-22.596440207291085,-46.71196868822353,serra negra,SP
13990,-22.18081673466526,-46.75045932004407,espirito santo do pinhal,SP
13940,-22.4911253329457,-46.64963107013442,águas de lindóia,SP
13986,-22.393696899359803,-46.75244956798473,barao ataliba nogueira,SP
13990,-22.193486840518688,-46.77042404360215,espírito santo do pinhal,SP
13986,-22.38939872981295,-46.745973418078485,barão ataliba nogueira,SP
13995,-22.11666363986587,-46.682531291057856,santo antonio do jardim,SP
13995,-22.111768103560816,-46.68505642320187,santo antônio do jardim,SP
13950,-22.520617479636183,-46.64376195480743,lindóia,SP
13988,-22.329696772146256,-46.723269406548624,eleutério,SP
13988,-22.329488152355584,-46.72340297028126,eleuterio,SP
14025,-21.18665775437128,-47.80976500582838,ribeirao preto,SP
14093,-21.188237520138365,-47.75564477528397,ribeirão preto,SP
14164,-21.12036817568814,-47.99377798972822,sertãozinho,SP
14166,-21.12954989370417,-47.97764683028446,sertaozinho,SP
14150,-21.21594896945095,-47.59002511568736,serrana,SP
14180,-21.033781290831215,-48.0321875274595,pontal,SP
14140,-21.33657673516688,-47.74963189171813,cravinhos,SP
14110,-21.185944576067463,-47.81498292186677,bonfim paulista,SP
14115,-21.49530743377723,-48.03684008452243,guatapará,SP
14120,-21.2389749988545,-47.97126109666656,dumont,SP
14115,-21.49997792466768,-48.03726039776328,guatapara,SP
14185,-20.89901844203041,-47.98807404896922,candia,SP
14240,-21.272672631957786,-47.30592892225557,cajuru,SP
14210,-21.55397791306265,-47.70050114604854,luis antonio,SP
14200,-21.47587505746344,-47.55665094604657,sao simao,SP
14270,-21.492062747451047,-47.38142757064218,santa rosa de viterbo,SP
14230,-21.31363348956331,-47.56361877243968,serra azul,SP
14210,-21.55428865113539,-47.704182313967,luís antônio,SP
14260,-21.282185702912003,-47.170228987427066,cassia dos coqueiros,SP
14200,-21.479388697550675,-47.55195141690275,são simão,SP
14250,-21.291066,-47.42532675,santa cruz da esperanca,SP
14260,-21.28189309132013,-47.170939123895344,cássia dos coqueiros,SP
14390,-21.09283286688257,-47.14945507372547,santo antonio da alegria,SP
14340,-20.98496873647953,-47.66278991609981,brodowski,SP
14305,-20.88373048265745,-47.57430515205115,batatais,SP
14350,-21.017096447298147,-47.38948762712411,altinopolis,SP
14350,-21.021159368549363,-47.36787303215467,altinópolis,SP
14390,-21.08863538083752,-47.152030148183584,santo antônio da alegria,SP
14400,-20.53193450696372,-47.399446711253766,franca,SP
14450,-20.309917531345675,-47.59383882689577,jeriquara,SP
14490,-20.08001891494805,-47.42292592174261,rifaina,SP
14440,-20.59032403679856,-47.63948695696446,sao jose da bela vista,SP
14460,-20.402781105235142,-47.41854742759851,cristais paulista,SP
14415,-20.643123703887085,-47.28157537181574,patrocinio paulista,SP
14470,-20.25024327597232,-47.47871792916746,pedregulho,SP
14420,-20.639108060072363,-47.21546859225574,itirapuã,SP
14415,-20.63265184783573,-47.27850012225583,patrocínio paulista,SP
14420,-20.635653648079987,-47.22240959312966,itirapua,SP
14445,-20.462421006221163,-47.58707544047656,ribeirao corrente,SP
14430,-20.602000825575438,-47.48367013800733,restinga,SP
14440,-20.59313062220305,-47.64173588487408,são josé da bela vista,SP
14445,-20.45799767491749,-47.5926092059861,ribeirão corrente,SP
14407,-20.498886301649826,-47.41638826917823,franca sp,SP
14540,-20.041053762308174,-47.75366751993626,igarapava,SP
14500,-20.317321012349943,-47.78078066138952,ituverava,SP
14530,-20.189440990108366,-48.02461316345813,miguelopolis,SP
14550,-20.08452659658634,-47.79314080508277,aramina,SP
14530,-20.17885348452079,-48.03113694777354,miguelópolis,SP
14570,-20.19583527692971,-47.708164833245,buritizal,SP
14580,-20.43399042630061,-47.81416224047547,guara,SP
14580,-20.42621599883804,-47.825646987088376,guará,SP
14505,-20.246259438280948,-47.8721832207391,sao benedito da cachoeirinha,SP
14590,-23.525594703874056,-46.54829611125291,pioneiros,SP
14610,-20.43102420974765,-48.01701483913844,ipua,SP
14600,-20.581177442701478,-47.858931261277824,sao joaquim da barra,SP
14640,-20.73906887829901,-48.06389922635336,morro agudo,SP
14620,-20.71749602546334,-47.8769102907048,orlandia,SP
14680,-21.026562514440094,-47.78329414537015,jardinopolis,SP
14620,-20.712989821280114,-47.85616988957921,orlândia,SP
14600,-20.59931319466273,-47.86324045353405,são joaquim da barra,SP
14680,-21.026764940401137,-47.78536662359127,jardinópolis,SP
14610,-20.431407264000715,-48.01535234655172,ipuã,SP
14660,-20.76161267843428,-47.84438278052354,sales oliveira,SP
14670,-20.728680116837992,-47.74940802015743,nuporanga,SP
14690,-21.06367700517132,-47.74377482743453,jurucê,SP
14690,-21.06367700517132,-47.74377482743453,juruce,SP
14783,-20.57622133702129,-48.57792225353819,barretos,SP
14700,-21.01874823813636,-48.6485935746869,bebedouro,SP
14740,-20.87672840914925,-48.29557204915602,viradouro,SP
14790,-20.32575857378295,-48.319543357640256,guaira,SP
14795,-20.179291836187755,-48.685766237155065,colombia,SP
14720,-21.114254738381373,-48.4420827102807,taiúva,SP
14750,-21.010986295708047,-48.20869881125268,pitangueiras,SP
14790,-20.31621116430709,-48.3094968379158,guaíra,SP
14730,-20.90967045175292,-48.63424472737879,monte azul paulista,SP
14770,-20.724127725272936,-48.52733120722506,colina,SP
14735,-20.81327575325975,-48.80426016516554,severinia,SP
14725,-21.143409040030463,-48.51518373604532,taiacu,SP
14745,-20.790805053014623,-48.3315460132848,terra roxa,SP
14720,-21.122062846117007,-48.44567256715844,taiuva,SP
14760,-21.001462657440992,-48.33171324598017,ibitiuva,SP
14775,-20.68783876701268,-48.41546620561777,jaborandi,SP
14735,-20.808235393310813,-48.80530263146882,severínia,SP
14765,-21.073263859446968,-48.41001812301054,taquaral,SP
14795,-20.179614093360552,-48.68784253319724,colômbia,SP
14725,-21.1477095,-48.51660150000001,taiaçu,SP
14810,-21.778926590339896,-48.15890478322473,araraquara,SP
14813,-21.838329613012903,-48.49030487176805,gaviao peixoto,SP
14875,-21.25145570294516,-48.3473467162469,jaboticabal,SP
14825,-21.68463581371358,-48.08419380577227,santa lucia,SP
14860,-21.182360068257925,-48.15822670677218,barrinha,SP
14815,-21.955472526805508,-48.00621945435803,ibaté,SP
14820,-21.73266611611225,-48.111971166222745,americo brasiliense,SP
14830,-21.58800868183973,-48.07150792743003,rincao,SP
14840,-21.36235769739203,-48.232975701561735,guariba,SP
14815,-21.956702269293604,-47.99599741860472,ibate,SP
14850,-21.36757068180344,-48.06270442872158,pradopolis,SP
14820,-21.738815568946997,-48.10503986049738,américo brasiliense,SP
14850,-21.360621844609025,-48.07280364789631,pradópolis,SP
14830,-21.58750880772664,-48.06955010612802,rincão,SP
14835,-21.509482988454184,-48.1521308105084,motuca,SP
14813,-21.840084173319266,-48.49559561906364,gavião peixoto,SP
14825,-21.69515999192887,-48.08829225099011,santa lúcia,SP
14940,-21.7664768468313,-48.83154737836604,ibitinga,SP
14900,-21.59119807780176,-48.81835065575072,itapolis,SP
14960,-21.46284342229134,-49.21918836311204,novo horizonte,SP
14910,-21.72886646318172,-48.68881488220222,tabatinga,SP
14920,-21.786966769171173,-48.5706038058013,nova europa,SP
14990,-21.280744442632404,-49.40941619971977,irapua,SP
14904,-21.516721143632157,-48.68997645273664,nova america,SP
14900,-21.5931419734954,-48.81285657399242,itápolis,SP
14955,-21.61505958746896,-49.0749430387662,borborema,SP
14930,-21.998055203292065,-48.38377561011862,boa esperanca do sul,SP
14980,-21.339803136118363,-49.4954618429649,sales,SP
14930,-21.99872678480093,-48.39280426526696,boa esperança do sul,SP
14935,-22.04009712079893,-48.33544815658296,trabiju,SP
14990,-21.27736802203085,-49.410543386458464,irapuã,SP
14907,-21.448052139973765,-48.78723054003935,tapinas,SP
14915,-20.882942002905025,-47.57213362429548,curupa,SP
14904,-21.516020213698408,-48.690331916546576,nova américa,SP
15041,-20.796222017784032,-49.42402036205527,sao jose do rio preto,SP
15047,-20.760421815820106,-49.395353250291,são josé do rio preto,SP
15130,-20.806068345905757,-49.50314249273567,mirassol,SP
15150,-20.7679005843988,-49.71138311138122,monte aprazível,SP
15170,-20.619786901756022,-49.64820320291271,tanabi,SP
15120,-20.852015406025306,-49.622542670259655,neves paulista,SP
15155,-20.889600826708687,-49.57165655226015,jaci,SP
15115,-20.9245222402303,-49.45780155372428,bady bassitt,SP
15180,-20.654280973693997,-49.91956275330881,sebastianopolis do sul,SP
15110,-20.788349306054016,-49.22697732034519,guapiacu,SP
15190,-20.691381198603764,-50.04237071280033,nhandeara,SP
15140,-20.73610517485865,-49.580691244769085,bálsamo,SP
15105,-21.040546601249808,-49.37584154114152,potirendaba,SP
15110,-20.788584146264988,-49.2269515137286,guapiaçu,SP
15150,-20.763517330580587,-49.71058052377615,monte aprazivel,SP
15160,-20.78794301654412,-49.81711966438032,poloni,SP
15140,-20.733233092850437,-49.58874536520348,balsamo,SP
15145,-20.57011540340353,-49.47117233180109,mirassolandia,SP
15108,-20.664462997323263,-49.38853504073393,ipigua,SP
