customer_city,transaction_amount,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
palhoca,90,88132.0,-27.64301988374891,-48.6725565749633,palhoca,SC
vinhedo,90,13283.0,-23.01011064782791,-46.98368633960173,vinhedo,SP
vicosa,89,36570.0,-20.721937677884224,-42.86601159708953,vicosa,MG
mogi-guacu,89,13840.0,-22.359648157307664,-46.93603474635176,mogi-guacu,SP
olinda,89,53040.0,-7.969116421863163,-34.83315765208818,olinda,PE
salto,89,13323.0,-23.225911871187957,-47.26603912401082,salto,SP
varginha,88,37002.0,-21.556465435793378,-45.44002728396701,varginha,MG
jaragua do sul,88,89256.0,-26.487035474897464,-49.071400994171626,jaragua do sul,SC
vitoria da conquista,88,45023.0,-14.866822005828382,-40.84460155591787,vitoria da conquista,BA
foz do iguacu,86,85851.0,-25.548584861815545,-54.58121020316589,foz do iguacu,PR
ananindeua,85,67030.0,-1.3530243841636622,-48.37987589266907,ananindeua,PA
poa,85,8558.0,-23.50802607799065,-46.33563054717532,poa,SP
lages,84,61962.0,-4.012779999999964,-38.69999999999993,lages,CE
votorantim,84,18117.0,-23.57105743712856,-47.45745448568884,votorantim,SP
jandira,84,6626.0,-23.54573019633161,-46.91596156272515,jandira,SP
assis,84,19802.0,-22.66968006093573,-50.43328802800281,assis,SP
caraguatatuba,83,11660.0,-23.622152560194245,-45.41471769806336,caraguatatuba,SP
angra dos reis,83,23953.0,-23.020653433603844,-44.53865723837596,angra dos reis,RJ
lorena,82,12607.0,-22.74237139800176,-45.11479219667662,lorena,SP
conselheiro lafaiete,82,36400.0,-20.653541574550808,-43.79083732604181,conselheiro lafaiete,MG
lavras,80,37200.0,-21.24898018734491,-44.99817928074323,lavras,MG
sao joao da boa vista,80,13875.0,-21.986354303481825,-46.775203722220574,sao joao da boa vista,SP
barbacena,79,36204.0,-21.302471981959147,-43.6251130300681,barbacena,MG
cubatao,79,11533.0,-23.925988916770564,-46.40841448983772,cubatao,SP
birigui,78,16200.0,-21.301705697260985,-50.33198634467411,birigui,SP
ourinhos,77,19912.0,-22.976259580068117,-49.86340401165677,ourinhos,SP
itapetininga,77,18207.0,-23.59969949456289,-48.06179358650231,itapetininga,SP
itabira,77,35900.0,-19.63165621067063,-43.212335433135365,itabira,MG
mesquita,76,26585.0,-22.799803765856137,-43.43737208045015,mesquita,RJ
mogi mirim,75,13807.0,-22.402763103111283,-46.94468978960629,mogi mirim,SP
varzea paulista,75,13221.0,-23.184985205666504,-46.82569758226659,varzea paulista,SP
mairipora,75,7600.0,-23.323581622627877,-46.571516434161296,mairipora,SP
sao roque,75,18143.0,-23.553372168359147,-47.087685232139656,sao roque,SP
araxa,75,38183.0,-19.5910731707997,-46.945463447657474,araxa,MG
teofilo otoni,75,39802.0,-17.877614947753674,-41.50059971564279,teofilo otoni,MG
itanhaem,74,11740.0,-24.149651009642906,-46.7480979001278,itanhaem,SP
araruama,74,28970.0,-22.871874606599256,-42.26921988909431,araruama,RJ
jau,73,17209.0,-22.27568678711987,-48.542599749927895,jau,SP
ubatuba,72,11680.0,-23.43162669109582,-45.07722870122336,ubatuba,SP
rio branco,72,69918.0,-9.926145000000002,-67.83511725,rio branco,AC
catanduva,72,15800.0,-21.1419615015292,-48.97287469954993,catanduva,SP
tatui,72,18270.0,-23.3512888921318,-47.844533893650215,tatui,SP
cachoeirinha,72,55380.0,-8.488750405664899,-36.23452647803289,cachoeirinha,PE
lauro de freitas,72,41717.0,-12.876501604218362,-38.335573927837714,lauro de freitas,BA
cacapava,72,12284.0,-23.11125490674591,-45.70176767124474,cacapava,SP
toledo,70,37630.0,-22.742401885171866,-46.37744694197427,toledo,MG
viamao,70,94430.0,-30.093155400501757,-51.020694288459616,viamao,RS
pirassununga,69,13631.0,-22.002685611188895,-47.42592206193028,pirassununga,SP
barretos,69,14783.0,-20.57622133702129,-48.57792225353819,barretos,SP
ilheus,69,45650.0,-14.79049472559921,-39.04261060073353,ilheus,BA
aruja,68,7400.0,-23.39888374540156,-46.32526700508771,aruja,SP
campina grande,67,58109.0,-7.226365512394997,-35.92605871525331,campina grande,PB
sao joao del rei,66,36302.0,-21.096972649648343,-44.234809817568056,sao joao del rei,MG
guarapari,66,29222.0,-20.638387527455134,-40.510928221725095,guarapari,ES
pinhais,66,83320.0,-25.436908583386337,-49.17617026672054,pinhais,PR
rondonopolis,64,78740.0,-16.478957116567617,-54.61738314210284,rondonopolis,MT
manhuacu,64,36900.0,-20.265441566422545,-42.044386189900685,manhuacu,MG
linhares,64,29900.0,-19.404003708258912,-40.06159959748777,linhares,ES
rio verde,64,75903.0,-17.78546797016929,-50.91893250583465,rio verde,GO
dourados,63,79823.0,-22.21703390643334,-54.83238552192974,dourados,MS
avare,63,18705.0,-23.092342721622696,-48.94030210644007,avare,SP
votuporanga,63,15503.0,-20.399207577004216,-49.96964020815701,votuporanga,SP
colatina,63,29703.0,-19.528550536262948,-40.63635035492862,colatina,ES
caruaru,63,55008.0,-8.286022089647403,-35.979771273529856,caruaru,PE
amparo,63,13908.0,-22.72282092806635,-46.84179829244856,amparo,SP
muriae,63,36884.0,-21.12842778573488,-42.37999506994058,muriae,MG
paracatu,62,38600.0,-17.211337793818256,-46.886436092783214,paracatu,MG
caratinga,62,35300.0,-19.79022694508355,-42.14210229958086,caratinga,MG
valenca,62,27600.0,-22.23065356965593,-43.70906792813136,valenca,RJ
petrolina,62,56320.0,-9.358524035135137,-40.4793764679649,petrolina,PE
guarapuava,62,85065.0,-25.37418387480538,-51.45285493089615,guarapuava,PR
bage,62,96408.0,-31.30534057119673,-54.11136802600594,bage,RS
santa cruz do sul,62,96810.0,-29.720993053788824,-52.4277166004204,santa cruz do sul,RS
parnamirim,61,56163.0,-8.0894929031627,-39.57794366732601,parnamirim,PE
sertaozinho,61,14166.0,-21.12954989370417,-47.97764683028446,sertaozinho,SP
camacari,60,42800.0,-12.703900871300451,-38.326472028106345,camacari,BA
itabuna,60,45603.0,-14.7833551157309,-39.26954106535293,itabuna,BA
colombo,60,83410.0,-25.357121818045123,-49.16585406200442,colombo,PR
tubarao,60,88704.0,-28.46951928224586,-48.99324969252177,tubarao,SC
brusque,60,88353.0,-27.09960944237496,-48.910555294766944,brusque,SC
jaguariuna,60,13820.0,-22.689712550377955,-46.98249303136359,jaguariuna,SP
paranagua,58,83212.0,-25.54845869660805,-48.55682115640703,paranagua,PR
lagoa santa,58,33400.0,-19.5921849600698,-43.90098205233704,lagoa santa,MG
sao sebastiao,57,11612.0,-23.826105,-45.43580295614292,sao sebastiao,SP
itapeva,57,18411.0,-23.969306228198967,-48.883745383382525,itapeva,SP
itaborai,56,24809.0,-22.767062407854965,-42.90188522228922,itaborai,RJ
erechim,56,99708.0,-27.65750342315629,-52.27005072567331,erechim,RS
cruzeiro,56,12702.0,-22.58485191618097,-44.96871571204341,cruzeiro,SP
itauna,56,35680.0,-20.08212660423176,-44.5732983518722,itauna,MG
alvorada,56,36803.0,-21.212759654680116,-43.77310454002815,alvorada,MG
campo mourao,56,87308.0,-24.02873739264769,-52.368261526247714,campo mourao,PR
ouro preto,55,35400.0,-20.38523748903572,-43.50551302553521,ouro preto,MG
lins,54,16400.0,-21.67955763252355,-49.76205252276527,lins,SP
araucaria,54,83707.0,-25.557676649395017,-49.37780909275544,araucaria,PR
araguari,54,38440.0,-18.65223568071188,-48.19343213192182,araguari,MG
unai,54,38610.0,-16.362606334443775,-46.89279560165654,unai,MG
jatai,54,75802.0,-17.910308573693655,-51.74371723934143,jatai,GO
bento goncalves,53,95700.0,-29.16904841329661,-51.52189899460921,bento goncalves,RS
ituiutaba,53,38300.0,-18.98771181521178,-49.471572121790736,ituiutaba,MG
queimados,53,26327.0,-22.717517825483345,-43.5533975624224,queimados,RJ
uba,53,36500.0,-21.12574332854103,-42.92260482854105,uba,MG
macapa,53,68901.0,0.0402530563973179,-51.0785768417404,macapa,AP
pato branco,53,85502.0,-26.237511,-52.692075,pato branco,PR
ijui,52,98700.0,-28.389227656496743,-53.92967622327969,ijui,RS
tupa,52,17607.0,-21.915397774670545,-50.52820889771564,tupa,SP
timoteo,52,35180.0,-19.54373077737746,-42.651621091858686,timoteo,MG
fernandopolis,52,15600.0,-20.28599742780295,-50.26063395418952,fernandopolis,SP
itapira,52,13972.0,-22.433272354448736,-46.81770035287661,itapira,SP
matao,51,15991.0,-21.62322639784909,-48.35015370607144,matao,SP
lajeado,51,77645.0,-9.751669526277722,-48.35806791288738,lajeado,TO
bebedouro,51,14700.0,-21.01874823813636,-48.6485935746869,bebedouro,SP
barreiras,51,47800.0,-12.147030551377815,-44.99609163741842,barreiras,BA
apucarana,51,86801.0,-23.558241337915224,-51.489341276340376,apucarana,PR
cosmopolis,50,13157.0,-22.63269209289212,-47.20099171014733,cosmopolis,SP
joao monlevade,50,35930.0,-19.801331997431117,-43.17722186400949,joao monlevade,MG
francisco beltrao,50,85601.0,-26.07915296665839,-53.06725661073275,francisco beltrao,PR
jaboticabal,50,14875.0,-21.25145570294516,-48.3473467162469,jaboticabal,SP
leme,50,13615.0,-22.162480324228845,-47.38128759913256,leme,SP
nova serrana,49,35519.0,-19.870118049590708,-45.00569489878337,nova serrana,MG
barra do pirai,49,27120.0,-22.457161272718484,-43.7951537328728,barra do pirai,RJ
boituva,47,18550.0,-23.279657630556585,-47.6618565754143,boituva,SP
sao mateus,47,29945.0,-18.743718440226072,-39.76582878496534,sao mateus,ES
uruguaiana,47,97503.0,-29.775123954116783,-57.09109952167133,uruguaiana,RS
ibirite,47,32415.0,-20.018415861881373,-44.09108560538193,ibirite,MG
campo limpo paulista,47,13238.0,-23.237674244304586,-46.76839048567362,campo limpo paulista,SP
bertioga,47,11250.0,-23.82834010075353,-46.1430173832652,bertioga,SP
concordia,47,89700.0,-27.22653060850951,-52.02147812014162,concordia,SC
sao pedro da aldeia,46,28941.0,-22.837704326139622,-42.09941559909131,sao pedro da aldeia,RJ
itaperuna,46,28300.0,-21.20851525964521,-41.87484723167247,itaperuna,RJ
embu-guacu,46,6900.0,-23.82852167738724,-46.814795982633896,embu-guacu,SP
itaguai,46,23826.0,-22.904483963321677,-43.87221941677409,itaguai,RJ
saquarema,45,28994.0,-22.900589999999998,-42.472008,saquarema,RJ
paranavai,45,87708.0,-23.09588633672341,-52.4523632136921,paranavai,PR
registro,45,11900.0,-24.49203032806276,-47.83413137913321,registro,SP
patrocinio,45,38740.0,-18.96081539046384,-47.00148282201047,patrocinio,MG
santo angelo,45,98801.0,-28.302982775967653,-54.26130006953182,santo angelo,RS
louveira,44,13290.0,-23.08412527710581,-46.98121307089687,louveira,SP
videira,44,88509.0,-27.81513743825374,-50.31575119900165,videira,SC
itapema,44,88220.0,-27.13197710454484,-48.599233840908056,itapema,SC
sao bento do sul,44,89286.0,-26.242374462882584,-49.44408726641652,sao bento do sul,SC
sao jose do rio pardo,44,13720.0,-21.60687363104145,-46.88965049547445,sao jose do rio pardo,SP
ilhabela,44,11630.0,-23.83182304604652,-45.37368542232557,ilhabela,SP
lencois paulista,43,18682.0,-22.60629544780534,-48.798319644319214,lencois paulista,SP
sinop,43,78550.0,-11.874170563327857,-55.498995315239725,sinop,MT
santarem,43,68020.0,-2.4432937946079303,-54.698726367091936,santarem,PA
peruibe,43,11750.0,-24.30942886354128,-46.991091315656,peruibe,SP
vargem grande paulista,43,6730.0,-23.659233203083232,-46.99692810611056,vargem grande paulista,SP
passos,43,37901.0,-20.72937959864741,-46.59305737288995,passos,MG
alfenas,43,37137.0,-21.407289471627635,-45.94035829050192,alfenas,MG
guaira,43,14790.0,-20.32575857378295,-48.319543357640256,guaira,SP
juazeiro,42,48904.0,-9.41613081904647,-40.49611545969129,juazeiro,BA
curvelo,42,35790.0,-18.744756956577486,-44.45041862816433,curvelo,MG
itupeva,42,13295.0,-23.15915219401001,-47.05820782584106,itupeva,SP
sabara,42,34525.0,-19.9021411367291,-43.815263757530296,sabara,MG
extrema,42,37640.0,-22.843339095273503,-46.320408988369685,extrema,MG
pirapora,42,39270.0,-17.34199668040074,-44.94194241063118,pirapora,MG
paulista,42,29815.0,-18.66416999999996,-40.79582999999997,paulista,ES
tres lagoas,42,79620.0,-20.801022467540307,-51.69872978634067,tres lagoas,MS
ouro branco,41,36420.0,-20.532664687290943,-43.71623161225068,ouro branco,MG
mongagua,41,11730.0,-24.11716945934433,-46.701075415691164,mongagua,SP
vespasiano,41,33200.0,-19.755283922647653,-43.94895032392866,vespasiano,MG
tres coracoes,41,37410.0,-21.69216794221008,-45.25804903964345,tres coracoes,MG
aracruz,40,29194.0,-19.814397885232086,-40.27342034637857,aracruz,ES
boa vista,40,58123.0,-7.260943030940209,-36.24249304641032,boa vista,PB
artur nogueira,40,13160.0,-22.559120480675748,-47.16516839542564,artur nogueira,SP
cacador,40,89500.0,-26.77759782919396,-51.0266006692904,cacador,SC
umuarama,40,87504.0,-23.748416432474365,-53.29690112215509,umuarama,PR
andradina,40,16900.0,-20.913260060505507,-51.37206780904842,andradina,SP
pedro leopoldo,40,33600.0,-19.652292291953287,-44.056767929538886,pedro leopoldo,MG
alagoinhas,40,48080.0,-12.131446680472528,-38.43135914903751,alagoinhas,BA
imperatriz,40,65901.0,-5.534159128117241,-47.47294602300849,imperatriz,MA
coronel fabriciano,40,35170.0,-19.50664329902649,-42.630873484496206,coronel fabriciano,MG
ponte nova,39,35430.0,-20.415339248383304,-42.89153741877715,ponte nova,MG
sapucaia do sul,39,93222.0,-29.820015785794464,-51.14116990854474,sapucaia do sul,RS
sao miguel do oeste,39,89900.0,-26.7286991677439,-53.51449582910278,sao miguel do oeste,SC
esteio,39,93295.0,-29.863317938656767,-51.12455872921976,esteio,RS
porto seguro,39,45810.0,-16.44446967266491,-39.06166956260506,porto seguro,BA
cianorte,39,87209.0,-23.66837933306229,-52.59191128521868,cianorte,PR
paulo afonso,39,48609.0,-9.400650893343569,-38.22373606219534,paulo afonso,BA
varzea grande,38,64525.0,-6.550422363513983,-42.25350033156219,varzea grande,PI
monte mor,38,13190.0,-22.95001023221123,-47.30583884974829,monte mor,SP
tres rios,38,25804.0,-22.119462909796585,-43.212276368761366,tres rios,RJ
tremembe,38,12120.0,-22.96042599570272,-45.55027479123935,tremembe,SP
araguaina,38,77815.0,-7.220107948717446,-48.24579968006918,araguaina,TO
capao da canoa,38,95555.0,-29.750130537873627,-50.02052715523322,capao da canoa,RS
bom despacho,38,35600.0,-19.74074058834445,-45.25452490731858,bom despacho,MG
valparaiso de goias,37,72876.0,-16.067795696951773,-47.97238787911786,valparaiso de goias,GO
nova odessa,37,13385.0,-22.78706404421539,-47.29741233595029,nova odessa,SP
penapolis,37,16306.0,-21.412735682401664,-50.0932985636057,penapolis,SP
guaxupe,37,37800.0,-21.308364360855997,-46.70040627563123,guaxupe,MG
para de minas,37,35660.0,-19.84716972915744,-44.60195651841526,para de minas,MG
guanambi,36,46430.0,-14.224788977578138,-42.77686614606025,guanambi,BA
olimpia,36,15400.0,-20.73348478239254,-48.88823835248024,olimpia,SP
vassouras,36,27700.0,-22.418541912748985,-43.67993483814997,vassouras,RJ
eunapolis,36,45821.0,-16.36031750905469,-39.59120263500393,eunapolis,BA
campo largo,36,83608.0,-25.456502450481345,-49.43538130229186,campo largo,PR
luis eduardo magalhaes,36,47850.0,-12.08678562555841,-45.79992414323213,luis eduardo magalhaes,BA
caldas novas,36,75690.0,-17.73809306838113,-48.61592058436871,caldas novas,GO
pedreira,36,13920.0,-22.73824150585765,-46.8958585777586,pedreira,SP
caucaia,35,61604.0,-3.7551783213115577,-38.65934362622857,caucaia,CE
paracambi,35,26600.0,-22.609707785965465,-43.7136934532079,paracambi,RJ
santa rita do sapucai,35,37540.0,-22.243203015748463,-45.71330344759827,santa rita do sapucai,MG
